name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bournemouth,2018-08-10,18.9,7.4,14,18.9,6.8,14,10.8,81.82,19.13,,12.5,,,,70.6,33.6,252,1018.8,36,20.8,181.2,10.4,4,,2018-08-10T05:47:20,2018-08-10T20:37:25,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03862099999,03746099999,03743099999,03857099999,E0531,03866099999,03749099999"
bournemouth,2018-08-11,18.6,5.7,14,18.6,5.7,14,11.7,86.39,0.83,,8.33,,,,,21.8,175.2,1021.8,48.8,21.5,143.7,8.3,3,,2018-08-11T05:48:51,2018-08-11T20:35:35,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03862099999,03746099999,03743099999,03857099999,E0531,03866099999,03749099999,D6648"
bournemouth,2018-08-12,18,15.7,17,18,15.7,17,15.2,89.5,4.02,,8.33,,,,46.4,22.5,191,1010.7,83.9,13.1,61.1,3.5,1,,2018-08-12T05:50:22,2018-08-12T20:33:44,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03862099999,03746099999,03743099999,E4819,03857099999,E0531,03866099999,03749099999,D6648"
bournemouth,2018-08-13,23.9,15.1,18.6,23.9,15.1,18.6,15,81.18,4,,8.33,,,0,,22.5,280.5,1008.3,55.8,16.7,250.6,14.4,5,,2018-08-13T05:51:53,2018-08-13T20:31:51,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03862099999,03746099999,03743099999,03857099999,E0531,03866099999,03749099999"
bournemouth,2018-08-14,23,13,18.3,23,13,18.3,14.6,80.44,0.2,,4.17,,,,,23.9,269.3,1017,51.2,16.9,224.9,13,5,,2018-08-14T05:53:25,2018-08-14T20:29:57,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03862099999,03746099999,03743099999,03857099999,E0531,03866099999,03749099999"
bournemouth,2018-08-15,21.5,17.1,19.1,21.5,17.1,19.1,14.7,76.13,0,,0,,,,46.4,24.4,249.1,1018.6,84,18.8,201.3,11.6,5,,2018-08-15T05:54:57,2018-08-15T20:28:02,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03862099999,03746099999,03743099999,03857099999,E0531,03866099999,03749099999"
bournemouth,2018-08-16,19.5,12.5,16.9,19.5,12.5,16.9,14.3,85.5,13.72,,8.33,,,0,55.4,24.3,247.3,1014.8,62.9,13.7,151.9,8.8,6,,2018-08-16T05:56:28,2018-08-16T20:26:06,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03862099999,03746099999,03743099999,03857099999,E0531,03866099999,03749099999,D6648"
bournemouth,2018-08-17,19.8,7.4,15.1,19.8,7.4,15.1,11.1,79.1,0,,0,,,0,,22.7,258,1020.3,42.7,16.9,220.3,12.7,6,,2018-08-17T05:58:00,2018-08-17T20:24:09,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03862099999,03746099999,03743099999,03857099999,E0531,03866099999,03749099999,D6648"
bournemouth,2018-08-18,21,15.3,18.1,21,15.3,18.1,14.4,79.04,0,,0,,,,,20.9,248.2,1021.8,86.2,13.8,159.4,9.2,3,,2018-08-18T05:59:32,2018-08-18T20:22:10,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03862099999,03746099999,03743099999,E4819,03857099999,E0531,03866099999,03749099999,D6648"
bournemouth,2018-08-19,24.3,17,19.8,24.3,17,19.8,16.7,82.8,0,,0,,,,55.4,28.1,251,1019.9,78.5,13.4,247.1,14.2,7,,2018-08-19T06:01:04,2018-08-19T20:20:11,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03862099999,03746099999,03743099999,C0230,03857099999,E0531,C1734,03866099999,03749099999"
