name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
burnley,2018-08-10,15.6,11.1,12.6,15.6,11.1,12.6,8.4,76.21,8.78,,12.5,,,,50,20.3,247.6,1015.6,43.5,35.2,135.9,11.7,4,,2018-08-10T05:38:27,2018-08-10T20:49:02,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"E8328,03346099999,03318099999,03344099999,03265099999,03316099999,D3656,03351099999"
burnley,2018-08-11,20.3,9.1,14.8,20.3,8,14.6,9.3,72.5,0.2,,4.17,,,,42.5,19.7,212.1,1018.7,28.6,35.2,214.7,18.5,8,,2018-08-11T05:40:11,2018-08-11T20:46:59,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"E8328,03346099999,03318099999,03344099999,03265099999,03316099999,D3656,03351099999"
burnley,2018-08-12,20,15.4,17.4,20,15.4,17.4,15.6,89.7,8.74,,16.67,,,,46.4,19.6,177.3,1007.7,64.3,31.5,98.5,8.5,4,,2018-08-12T05:41:56,2018-08-12T20:44:54,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"E8328,03346099999,03318099999,03344099999,03265099999,03316099999,D3656,03351099999"
burnley,2018-08-13,19.3,14.3,16.5,19.3,14.3,16.5,15,90.86,5.52,,12.5,,,,,17.4,282.1,1007,55.1,23.6,126.8,11,5,,2018-08-13T05:43:41,2018-08-13T20:42:47,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"E8328,03346099999,03318099999,03344099999,03265099999,03316099999,D3656,03351099999"
burnley,2018-08-14,18.6,13.7,16.2,18.6,13.7,16.2,13.8,85.72,0.2,,4.17,,,,37.1,20.2,255.8,1013.9,53.1,32.8,127.9,9.2,3,,2018-08-14T05:45:27,2018-08-14T20:40:40,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"E8328,03346099999,03318099999,03344099999,03265099999,03316099999,D3656,03351099999"
burnley,2018-08-15,21.2,15.7,18,21.2,15.7,18,15.2,84.08,0.56,,4.17,,,,57.9,31.2,220.4,1012.7,52.2,26,189.3,15,6,,2018-08-15T05:47:12,2018-08-15T20:38:31,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"E8328,03346099999,03318099999,03344099999,03265099999,03316099999,03351099999,D3656"
burnley,2018-08-16,17,12.5,15.2,17,12.5,15.2,11.3,78.08,5.36,,12.5,,,,57.6,24.1,246.9,1010.2,46.4,29,170,14.7,5,,2018-08-16T05:48:58,2018-08-16T20:36:21,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"E8328,03346099999,03318099999,03344099999,03265099999,03316099999,D3656,03351099999"
burnley,2018-08-17,15.3,12.3,13.9,15.3,12.3,13.9,11,82.93,1,,4.17,,,,50,26.3,236.8,1016.2,46.1,25.3,89.5,7.7,2,,2018-08-17T05:50:43,2018-08-17T20:34:10,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"E8328,03346099999,03318099999,03344099999,03265099999,03316099999,D3656,03351099999"
burnley,2018-08-18,19.9,15,17.4,19.9,15,17.4,14.3,82.3,0.56,,4.17,,,,55.4,25.6,232,1016.5,63,28.6,79.9,6.9,2,,2018-08-18T05:52:29,2018-08-18T20:31:58,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"E8328,03346099999,03318099999,03344099999,03265099999,03316099999,D3656,03351099999"
burnley,2018-08-19,18.5,15.2,17.2,18.5,15.2,17.2,15.5,89.84,2.54,,8.33,,,,51.8,28.3,244.3,1015,60.9,26.4,94.5,8.2,2,,2018-08-19T05:54:15,2018-08-19T20:29:44,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"E8328,03346099999,03318099999,03344099999,03265099999,03316099999,D3656,03351099999"
