name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
cardiff,2018-08-10,18,12.1,14.9,18,12.1,14.9,10.9,77.66,13.51,,12.5,,,,57.6,31.3,257.8,1017.9,40.2,15.3,219.8,12.7,5,,2018-08-10T05:50:08,2018-08-10T20:44:59,1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03715099999,03609099999,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-08-11,17.9,9.1,14.3,17.9,7.7,14.2,12.1,86.94,6.94,,8.33,,,,57.6,21.5,184.9,1020.1,59.4,13.8,121.2,7,3,,2018-08-11T05:51:42,2018-08-11T20:43:06,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03715099999,03609099999,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-08-12,19.8,15.9,17.5,19.8,15.9,17.5,15.9,90.85,29.06,,12.5,,,,59.4,22.1,214.8,1008.5,81.8,12.9,159.4,8.6,4,,2018-08-12T05:53:16,2018-08-12T20:41:11,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03715099999,03609099999,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-08-13,21.5,14.2,17.7,21.5,14.2,17.7,14.8,84.09,3.84,,12.5,,,,,24.6,295,1008.8,56.8,15.2,254.6,14.7,5,,2018-08-13T05:54:50,2018-08-13T20:39:16,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03715099999,03609099999,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-08-14,19.2,14.4,17.3,19.2,14.4,17.3,14.8,85.5,0.4,,4.17,,,,53.6,31.7,282.9,1017,82.7,13.5,194.5,11.2,5,,2018-08-14T05:56:25,2018-08-14T20:37:19,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03715099999,03609099999,AU141,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-08-15,21.7,17,18.7,21.7,17,18.7,15.5,82.5,1.73,,8.33,,,,68.4,27.2,257.4,1017.3,88.6,13.7,169.5,9.8,6,,2018-08-15T05:58:00,2018-08-15T20:35:21,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03715099999,03609099999,AU141,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-08-16,18.8,14.3,16.8,18.8,14.3,16.8,12.8,77.9,9.33,,12.5,,,,74.2,30.5,266.8,1013.9,64.5,12.5,333.5,18,8,,2018-08-16T05:59:35,2018-08-16T20:33:21,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03715099999,03609099999,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-08-17,18,11.2,15.3,18,11.2,15.3,12,81.57,0,,0,,,,53.6,27.3,286.4,1020.1,60.6,12.5,201.6,12.3,6,,2018-08-17T06:01:10,2018-08-17T20:31:21,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03715099999,03609099999,AU141,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-08-18,19,16.1,17.7,19,16.1,17.7,15.6,87.8,0.9,,8.33,,,,55.4,28,261.9,1020.8,93.7,11.6,80.5,5.5,2,,2018-08-18T06:02:45,2018-08-18T20:29:19,0.26,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03715099999,03609099999,AU141,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-08-19,18,16.1,17.5,18,16.1,17.5,16.2,92.05,2.1,,12.5,,,,64.8,33.7,262.2,1019.1,91.6,9.7,102.6,8.1,3,,2018-08-19T06:04:20,2018-08-19T20:27:16,0.31,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03715099999,AU141,03609099999,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-08-20,19.9,16.9,18.2,19.9,16.9,18.2,17.2,93.74,2.59,,8.33,,,,,22.6,271.1,1020.5,94.2,9.4,92.4,8,3,,2018-08-20T06:05:56,2018-08-20T20:25:13,0.35,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"03715099999,AU141,03609099999,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-08-21,19,15.1,16.8,19,15.1,16.8,15.3,90.91,0.58,,8.33,,,,,18.1,285.6,1019.9,81.3,16,170.6,10.4,6,,2018-08-21T06:07:31,2018-08-21T20:23:08,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03715099999,AU141,03609099999,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-08-22,20.9,16.8,18.3,20.9,16.8,18.3,16.5,89.85,1.8,,16.67,,,,,23.8,265.9,1017.5,89.9,15.7,139.1,8,3,,2018-08-22T06:09:07,2018-08-22T20:21:02,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03715099999,03609099999,AU141,03853099999,E8865,EGFF,03716099999,03710099999"
cardiff,2018-08-23,18.1,11.6,15.8,18.1,11.6,15.8,13,83.84,1.67,,12.5,,,,,28.1,283.3,1014.3,63.3,13.9,209.6,12.1,6,,2018-08-23T06:10:42,2018-08-23T20:18:56,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03715099999,03609099999,AU141,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-08-24,15.9,8.4,12.4,15.9,5.9,12.1,9.4,82.12,8.01,,16.67,,,,61.2,31.3,299.5,1015.2,38.7,14.1,235,11.8,7,,2018-08-24T06:12:18,2018-08-24T20:16:48,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03715099999,03609099999,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-08-25,16.9,7.6,12.4,16.9,5.5,11.7,8.1,76.24,2.7,,8.33,,,,46.4,23.8,294.8,1016.3,10.3,16.3,286.1,15.5,6,,2018-08-25T06:13:53,2018-08-25T20:14:40,0.5,Rain,Clear conditions throughout the day with rain.,rain,"03715099999,03609099999,AU141,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-08-26,17.1,12,14.6,17.1,12,14.6,12.6,88.3,36.43,,8.33,,,,66.6,33,216.2,1008.1,76.2,10.6,68.5,3.9,2,,2018-08-26T06:15:29,2018-08-26T20:12:31,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03715099999,03609099999,AU141,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-08-27,17.1,13.9,15.3,17.1,13.9,15.3,11.8,79.59,0.52,,8.33,,,,38.9,31.2,291.7,1012.5,93.2,14.9,118.6,8.1,3,,2018-08-27T06:17:04,2018-08-27T20:10:21,0.51,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03715099999,03609099999,AU141,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-08-28,17,14,15.2,17,14,15.2,11,76.25,0,,0,,,,,14.2,240.4,1017,96.6,16.6,143,8.2,4,,2018-08-28T06:18:40,2018-08-28T20:08:11,0.52,Overcast,Cloudy skies throughout the day.,cloudy,"03715099999,03609099999,AU141,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-08-29,18.8,10.5,14.9,18.8,10.5,14.9,10.9,77.31,0.75,,8.33,,,0,37.1,25.9,263.5,1017.1,60,15.9,258.7,14.9,7,,2018-08-29T06:20:16,2018-08-29T20:06:00,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03715099999,03609099999,AU141,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-08-30,17.8,8.2,13.2,17.8,6.4,12.8,7.6,70.47,0,,0,,,,,13.4,179.3,1023.8,11.8,16.4,245.1,15.9,7,,2018-08-30T06:21:51,2018-08-30T20:03:48,0.58,Clear,Clear conditions throughout the day.,clear-day,"03715099999,03609099999,AU141,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-08-31,20.7,9.3,15,20.7,8.1,14.8,9.3,70.08,0,,0,,,,,16,91.8,1022.8,6.3,15.7,299.7,19.4,7,,2018-08-31T06:23:27,2018-08-31T20:01:35,0.62,Clear,Clear conditions throughout the day.,clear-day,"03715099999,AU141,03609099999,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-09-01,21.1,15.2,17.8,21.1,15.2,17.8,14.1,79.54,0,,0,,,,,17.1,137.5,1023.7,59.1,12,196.5,12.7,5,,2018-09-01T06:25:02,2018-09-01T19:59:22,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03715099999,03609099999,AU141,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-09-02,22,16.1,18.5,22,16.1,18.5,13.6,73.95,0,,0,,,,,18.3,135.9,1023,65,14.8,205.3,15.5,6,,2018-09-02T06:26:38,2018-09-02T19:57:09,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03715099999,03609099999,AU141,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-09-03,19.8,14.1,16.8,19.8,14.1,16.8,14.4,85.68,2,,4.17,,,,46.4,17.5,174.8,1021.2,65.2,14.1,99.9,6.1,3,,2018-09-03T06:28:13,2018-09-03T19:54:55,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03715099999,AU141,03609099999,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-09-04,17.1,13.1,15.1,17.1,13.1,15.1,11.8,80.58,0.2,,4.17,,,,,15.4,70.8,1022,72.1,16.4,101.3,5.8,2,,2018-09-04T06:29:48,2018-09-04T19:52:40,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03715099999,03609099999,AU141,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-09-05,19.1,11.2,15.2,19.1,11.2,15.2,10.1,72.95,0,,0,,,,,18.1,111.6,1022.4,37.8,15.3,363.1,19.6,7,,2018-09-05T06:31:24,2018-09-05T19:50:25,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03715099999,03609099999,AU141,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-09-06,17.1,9.2,13.4,17.1,7.8,13.2,10.7,84.13,0.4,,8.33,,,,,25,298.4,1018.3,48,16,161.3,8.1,4,,2018-09-06T06:32:59,2018-09-06T19:48:09,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03715099999,03609099999,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-09-07,16,8.1,12.4,16,5.6,11.7,8,75.65,0.6,,8.33,,,,,23.7,285.6,1017.6,34.3,16.6,230.6,13.3,6,,2018-09-07T06:34:35,2018-09-07T19:45:53,0.97,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"03715099999,03609099999,AU141,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-09-08,17.9,12.2,15.2,17.9,12.2,15.2,12.5,84.08,1.84,,12.5,,,,64.8,25.4,245,1017.6,76.6,17.1,88.4,5.4,3,,2018-09-08T06:36:10,2018-09-08T19:43:37,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03715099999,03609099999,AU141,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-09-09,17.9,15,16,17.9,15,16,12.8,81.98,0.96,,8.33,,,,68.4,27.7,252.7,1017.7,84.9,14,156.3,7.9,4,,2018-09-09T06:37:45,2018-09-09T19:41:21,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03715099999,03609099999,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-09-10,18,14,16.3,18,14,16.3,11.4,73.04,0.2,,4.17,,,,63,24.6,266.3,1021,74.2,13.9,220.3,11.9,5,,2018-09-10T06:39:21,2018-09-10T19:39:04,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03715099999,03609099999,AU141,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-09-11,17.7,13.3,16.5,17.7,13.3,16.5,15.1,91.35,4.22,,12.5,,,,74.2,25.7,262.6,1019.1,94.3,10.7,78.3,4.2,2,,2018-09-11T06:40:56,2018-09-11T19:36:46,0.02,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03715099999,03609099999,AU141,03853099999,EGFF,E8865,03716099999,03710099999"
cardiff,2018-09-12,15.1,10.2,13,15.1,10.2,13,10.1,83.1,1.37,,4.17,,,0,,14.1,245.4,1023.6,56.8,16,153.9,9.4,4,,2018-09-12T06:42:32,2018-09-12T19:34:29,0.05,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"03715099999,03609099999,AU141,03853099999,EGFF,E8865,03716099999,03710099999"
