name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
huddersfield,2018-08-10,15.2,10.2,12,15.2,10.2,12,7.5,74.64,7,,12.5,,,,,28.1,252.6,1015.6,14.4,35.2,167.7,9.7,4,,2018-08-10T05:37:07,2018-08-10T20:46:42,1,Rain,Clear conditions throughout the day with rain.,rain,"E8328,03346099999,03330099999,03344099999,03265099999,03257099999,03351099999"
huddersfield,2018-08-11,20.1,8.6,14.2,20.1,6.8,13.9,8.6,72.28,0.8,,4.17,,,,42.5,26.8,219.3,1018.8,9.4,35,281.1,16.2,8,,2018-08-11T05:38:51,2018-08-11T20:44:39,0,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"E8328,03346099999,03330099999,03344099999,03265099999,03257099999,03351099999,C3546"
huddersfield,2018-08-12,19.1,15.1,16.9,19.1,15.1,16.9,15,89.28,6.08,,12.5,,,,40.7,22.6,179,1007.9,21.5,28.3,107.2,6.2,4,,2018-08-12T05:40:35,2018-08-12T20:42:34,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"E8328,03346099999,F0705,03330099999,03344099999,03265099999,03257099999,03351099999"
huddersfield,2018-08-13,20.6,14,16.3,20.6,14,16.3,14.5,89.33,3.89,,12.5,,,,,28.1,277.6,1006.9,18.3,21.5,154.5,8.9,5,,2018-08-13T05:42:19,2018-08-13T20:40:29,0.03,Rain,Clear conditions throughout the day with rain.,rain,"E8328,03346099999,03330099999,03344099999,03265099999,03257099999,03351099999"
huddersfield,2018-08-14,18,13,15.7,18,13,15.7,13.1,85.01,0.4,,4.17,,,,37.1,27.4,264.9,1013.8,17.3,31.8,137.8,7.9,3,,2018-08-14T05:44:04,2018-08-14T20:38:22,0.07,Rain,Clear conditions throughout the day with early morning rain.,rain,"E8328,03346099999,F0705,03330099999,03344099999,03265099999,03257099999,03351099999"
huddersfield,2018-08-15,21.5,15.1,17.8,21.5,15.1,17.8,14.6,81.67,0,,0,,,,59.4,37.4,230.7,1012.7,16.4,25.9,233.1,13.4,6,,2018-08-15T05:45:49,2018-08-15T20:36:14,0.11,Clear,Clear conditions throughout the day.,wind,"E8328,03346099999,03330099999,03344099999,03265099999,03257099999,03351099999"
huddersfield,2018-08-16,17,11.8,14.7,17,11.8,14.7,10.5,76.74,4.74,,12.5,,,,50,29.1,251.8,1010.2,15.5,29,228,12.3,5,,2018-08-16T05:47:34,2018-08-16T20:34:04,0.16,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"E8328,03346099999,03330099999,03344099999,03265099999,03257099999,03351099999"
huddersfield,2018-08-17,15.2,11.6,13.4,15.2,11.6,13.4,10.2,81.64,0,,0,,,,57.6,28.1,238.8,1016.2,15,24.9,93.6,5.4,2,,2018-08-17T05:49:19,2018-08-17T20:31:54,0.21,Clear,Clear conditions throughout the day.,clear-day,"E8328,03346099999,F0705,03330099999,03344099999,03265099999,03257099999,03351099999"
huddersfield,2018-08-18,20.6,14.3,17.4,20.6,14.3,17.4,13.7,79.33,0.21,,4.17,,,,53.6,32.3,242.9,1016.4,20.9,28.3,80.2,4.6,2,,2018-08-18T05:51:04,2018-08-18T20:29:42,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"E8328,03346099999,F0705,03330099999,03344099999,03265099999,03257099999,03351099999"
huddersfield,2018-08-19,18,14.9,17,18,14.9,17,15,88.15,1.09,,8.33,,,,49.8,43.4,249,1015,20.1,25.4,107.5,5.8,2,,2018-08-19T05:52:49,2018-08-19T20:27:30,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"E8328,03346099999,03330099999,03344099999,03265099999,03257099999,03351099999"
