name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
leicester,2018-08-10,15.9,10.2,13.3,15.9,10.2,13.3,9.2,76.33,11.36,,12.5,,,,,17.8,245.7,1016.7,44.1,36.8,157.3,9.1,4,,2018-08-10T05:38:06,2018-08-10T20:40:38,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
leicester,2018-08-11,20.9,8,14.7,20.9,6.8,14.3,9.4,73.92,0.4,,4.17,,,,42.5,18.6,215.2,1020.2,34.2,29.3,293.1,16.9,8,,2018-08-11T05:39:45,2018-08-11T20:38:39,0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"03462099999,E7347,E7568,03379099999,03354099999,03535099999,03560099999,03544099999"
leicester,2018-08-12,18.5,15.5,16.7,18.5,15.5,16.7,15.2,90.87,5.78,,8.33,,,,27.7,16.7,188.4,1009.5,87,22,63.5,3.7,2,,2018-08-12T05:41:25,2018-08-12T20:36:40,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,D6997,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
leicester,2018-08-13,22.4,15.3,17.9,22.4,15.3,17.9,14.5,81.78,5.94,,12.5,,,,48.2,26.1,270.7,1006.9,72.3,26,263.1,15.2,7,,2018-08-13T05:43:04,2018-08-13T20:34:39,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
leicester,2018-08-14,22.5,13.1,17.9,22.5,13.1,17.9,13.2,74.95,4,,4.17,,,,,21,259.2,1014.8,60.3,36.2,194.2,11.2,4,,2018-08-14T05:44:44,2018-08-14T20:32:37,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03462099999,E7347,D6997,03379099999,03354099999,03535099999,03560099999,03544099999"
leicester,2018-08-15,22.9,15.1,19.1,22.9,15.1,19.1,14.2,74.14,0,,0,,,,47.2,25.4,229.4,1015.2,64.7,33,164.8,9.5,4,,2018-08-15T05:46:24,2018-08-15T20:30:34,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,E7347,D6997,03379099999,03354099999,03535099999,03560099999,03544099999"
leicester,2018-08-16,19.4,13.7,17,19.4,13.7,17,12.1,74.9,7.82,,8.33,,,,36.4,21.1,237.1,1012,60.3,30.4,206.9,11.9,7,,2018-08-16T05:48:04,2018-08-16T20:28:29,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03462099999,E7347,E7568,03379099999,03354099999,03535099999,03560099999,03544099999"
leicester,2018-08-17,19.1,10.3,15.3,19.1,10.3,15.3,10.1,72.9,0,,0,,,,46.4,20.8,241,1018.1,43.1,32.2,194.2,11.2,4,,2018-08-17T05:49:44,2018-08-17T20:26:23,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,D6997,E7568,03379099999,03354099999,03535099999,03560099999,03544099999"
leicester,2018-08-18,21.6,15.7,18.4,21.6,15.7,18.3,13.9,75.47,0,,0,,,,48.2,21,232.5,1018.7,84.4,32.5,153.6,8.8,4,,2018-08-18T05:51:25,2018-08-18T20:24:17,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,D6997,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
leicester,2018-08-19,22.6,16.9,19.3,22.6,16.9,19.3,15.4,78.77,0.2,,4.17,,,,50,23.4,240.9,1016.8,85.5,35.4,148.6,8.6,4,,2018-08-19T05:53:05,2018-08-19T20:22:09,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03462099999,E7347,E7568,03379099999,03354099999,03535099999,03560099999,03544099999,C6878"
leicester,2018-08-20,22.5,16.2,19.5,22.5,16.2,19.5,15.8,79.87,0.2,,4.17,,,,,12.1,240.3,1019.2,82.8,37,136.7,7.4,3,,2018-08-20T05:54:46,2018-08-20T20:20:00,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
leicester,2018-08-21,23.6,17,19.7,23.6,17,19.7,15,75.64,0,,0,,,,,11.8,238.2,1018.4,62.3,31.4,244.7,12.3,8,,2018-08-21T05:56:26,2018-08-21T20:17:50,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,E7347,E7568,03379099999,03354099999,03535099999,03560099999,03544099999,C2305,C6878"
leicester,2018-08-22,24.1,14,19,24.1,14,19,14.9,78.49,0,,0,,,,33.5,18.7,236.1,1015.8,57.9,29.7,161.6,9.3,4,,2018-08-22T05:58:07,2018-08-22T20:15:39,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999,C6878"
leicester,2018-08-23,18.6,12.1,15.4,18.6,12.1,15.4,11.6,79.37,10.52,,12.5,,,,48.2,22.2,282,1012.4,63.5,27.3,189.1,10.9,5,,2018-08-23T05:59:48,2018-08-23T20:13:28,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,D7144,03560099999,03544099999,C6878"
leicester,2018-08-24,15.6,8.5,11.8,15.6,6.7,11.2,7.9,78.04,3.01,,8.33,,,,55.4,23.6,255.3,1012.1,30.2,35.1,220.3,12.7,5,,2018-08-24T06:01:28,2018-08-24T20:11:15,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999,C6878"
leicester,2018-08-25,17.3,8.1,12.2,17.3,6,11.5,7.6,75.23,4.3,,12.5,,,,,17.3,279.2,1014,33.9,37.1,224.5,12.1,5,,2018-08-25T06:03:09,2018-08-25T20:09:02,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
leicester,2018-08-26,17,9.2,12.5,17,8.7,12.4,11,90.85,11.02,,8.33,,,,48.2,22.1,195.3,1008,82.9,25.3,59.8,3.2,1,,2018-08-26T06:04:50,2018-08-26T20:06:48,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999,C6878"
leicester,2018-08-27,17.8,12.5,15.3,17.8,12.5,15.3,11.1,76.86,0.53,,4.17,,,,46.4,22.7,249.8,1009.9,83.4,39.2,159.5,8.6,4,,2018-08-27T06:06:30,2018-08-27T20:04:33,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
leicester,2018-08-28,17.3,12.7,15.4,17.3,12.7,15.4,11,75.5,0,,0,,,,,13.1,221,1016.8,92.4,39,144.3,7.8,2,,2018-08-28T06:08:11,2018-08-28T20:02:17,0.52,Overcast,Cloudy skies throughout the day.,cloudy,"03462099999,E7347,E7568,03379099999,03354099999,03535099999,03560099999,03544099999"
leicester,2018-08-29,18.1,11.7,14.9,18.1,11.7,14.9,10.6,76.31,2.01,,8.33,,,,20.5,17.7,273.4,1015.9,61.1,28.1,208.1,11.2,6,,2018-08-29T06:09:52,2018-08-29T20:00:01,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999,C6878"
leicester,2018-08-30,18.4,8.2,13.4,18.4,7.2,13.2,7.2,68.99,0,,0,,,,,11.3,198,1023.5,32.6,28.8,273,14.7,7,,2018-08-30T06:11:32,2018-08-30T19:57:44,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999,C6878"
leicester,2018-08-31,19.6,7.2,13.6,19.6,6,13.4,7.8,71.32,0,,0,,,,,10.4,93.6,1023.8,18.3,29.2,277.1,14,7,,2018-08-31T06:13:13,2018-08-31T19:55:27,0.62,Clear,Clear conditions throughout the day.,clear-day,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
leicester,2018-09-01,23.7,10.4,16.8,23.7,10.4,16.9,11.2,72.62,0,,0,,,,,15.4,182.9,1024.4,22.7,23,248.9,13.4,6,,2018-09-01T06:14:53,2018-09-01T19:53:09,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999,C6878"
leicester,2018-09-02,23.5,11.6,18,23.5,11.6,18,9.7,60.41,0,,0,,,,,13.6,169.1,1023.6,30,34.5,284.1,15.3,7,,2018-09-02T06:16:34,2018-09-02T19:50:50,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999,C6878"
leicester,2018-09-03,22.4,13.5,17.1,22.4,13.5,17.1,11.9,72.14,1,,4.17,,,,,15.2,199.7,1021,60.5,28.4,184.7,10,5,,2018-09-03T06:18:15,2018-09-03T19:48:31,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,D7144,03560099999,03544099999"
leicester,2018-09-04,15.5,12.9,14.2,15.5,12.9,14.2,11.7,84.75,0.8,,4.17,,,,,14.1,96.1,1022.3,95.3,14.7,169.9,8.6,5,,2018-09-04T06:19:55,2018-09-04T19:46:11,0.83,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
leicester,2018-09-05,18.6,12.2,15,18.6,12.2,15,10.4,75.36,0,,0,,,,,14.4,272.4,1022,73,25.9,180.5,9.1,4,,2018-09-05T06:21:36,2018-09-05T19:43:51,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
leicester,2018-09-06,17,7.8,12.2,17,6.6,11.9,9.4,83.51,4.01,,4.17,,,,,12.6,277,1016.7,34.8,24.5,143.6,7.2,3,,2018-09-06T06:23:16,2018-09-06T19:41:30,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
leicester,2018-09-07,16.1,7.4,11.7,16.1,5,10.8,6.9,73.85,2,,4.17,,,,57.6,28.4,268,1014.9,42.9,37.4,176.6,8.9,4,,2018-09-07T06:24:56,2018-09-07T19:39:09,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
leicester,2018-09-08,16.8,8.9,13.2,16.8,7.2,12.9,10.5,83.65,6.63,,8.33,,,,46.4,22.2,222,1016.1,82,36.4,111.2,5.6,2,,2018-09-08T06:26:37,2018-09-08T19:36:48,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999"
leicester,2018-09-09,19.8,13.6,16.1,19.8,13.6,16.1,11.6,75.81,0.6,,8.33,,,,51.8,23.8,221.3,1015.6,76,33.3,218.6,11,6,,2018-09-09T06:28:17,2018-09-09T19:34:27,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999"
leicester,2018-09-10,18,12.1,15,18,12.1,15,9.5,70.48,0,,0,,,,48.2,23,230.4,1019.1,87.5,26.5,173.7,8.8,3,,2018-09-10T06:29:58,2018-09-10T19:32:05,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999"
leicester,2018-09-11,18.3,14.9,16.6,18.3,14.9,16.6,13.3,81.17,2.31,,8.33,,,,63,29,248.2,1016.6,79.8,32.6,89.5,4.5,2,,2018-09-11T06:31:38,2018-09-11T19:29:42,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,D6997,03379099999,03354099999,03535099999,03560099999"
leicester,2018-09-12,16.9,9.2,12.9,16.9,8.9,12.9,8.7,77.07,3.18,,12.5,,,,,14.1,281.9,1022.6,59.8,28.9,169.1,8.5,4,,2018-09-12T06:33:19,2018-09-12T19:27:20,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999"
leicester,2018-09-13,17,7.1,12.3,17,5,11.7,6.9,72.05,0,,0,,,,,19.6,245.1,1022.4,52.1,31.4,214.7,10.8,6,,2018-09-13T06:34:59,2018-09-13T19:24:57,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,E7347,D6997,03379099999,03354099999,03535099999,03560099999"
leicester,2018-09-14,17.4,11.5,14,17.4,11.5,14,9.1,73.07,0.34,,4.17,,,,50,21.4,236,1019.1,75.9,38,162.1,8.2,4,,2018-09-14T06:36:40,2018-09-14T19:22:34,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
leicester,2018-09-15,18.6,9.4,13.8,18.6,8.2,13.8,9.9,79.09,0.87,,11.11,,,,33.5,16.7,237.1,1021.9,37.4,28.6,175.2,8.8,5,,2018-09-15T06:38:21,2018-09-15T19:20:11,0.18,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999,C6878"
