name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Liverpool,2018-08-10,16.6,12.7,14.6,16.6,12.7,14.6,9.5,72.16,2.36,,8.33,,,,50,26.8,250,1016.2,50.2,27.6,312.6,18,7,,2018-08-10T05:42:45,2018-08-10T20:50:38,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"C8374,03318099999,03323399999,03313099999,03316099999,03351099999,03321099999"
Liverpool,2018-08-11,20.8,10.9,15.9,20.8,10.9,15.9,10.6,73.03,0.2,,4.17,,,,42.5,24.4,182.8,1018.4,43.1,27.5,344.1,19.8,10,,2018-08-11T05:44:28,2018-08-11T20:48:36,0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"C8374,03318099999,03323399999,03313099999,03316099999,03351099999,03321099999"
Liverpool,2018-08-12,21.2,16.3,18.4,21.2,16.3,18.4,16.5,89.24,8.91,,16.67,,,,46.4,21.4,152.4,1007.2,78.2,28.5,229.9,13.2,6,,2018-08-12T05:46:11,2018-08-12T20:46:33,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"C8374,03318099999,03323399999,03313099999,03316099999,03351099999,03321099999"
Liverpool,2018-08-13,18.2,15.4,16.8,18.2,15.4,16.8,14.9,89.01,2.01,,12.5,,,,,31.5,289.3,1008,65.9,22.9,216.3,12.5,5,,2018-08-13T05:47:54,2018-08-13T20:44:28,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"C8374,03318099999,03323399999,03313099999,03316099999,03351099999,03321099999"
Liverpool,2018-08-14,19.8,15.3,17.8,19.8,15.3,17.8,14.5,81.38,0.2,,4.17,,,,,21.2,255.5,1014.5,77,28.4,165.8,9.5,4,,2018-08-14T05:49:38,2018-08-14T20:42:23,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"C8374,03318099999,03323399999,03313099999,E3727,03316099999,03351099999,03321099999"
Liverpool,2018-08-15,21,17.5,19.1,21,17.5,19.1,15.7,81.05,1.25,,8.33,,,,57.6,38.2,208.7,1013,71.4,24,201.5,11.6,8,,2018-08-15T05:51:21,2018-08-15T20:40:16,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"C8374,03318099999,03323399999,03313099999,03316099999,03351099999,03321099999"
Liverpool,2018-08-16,18.3,14,16.6,18.3,14,16.6,11.9,73.96,6.69,,12.5,,,,57.6,30.2,248.1,1010.9,53.2,23.3,350,18.9,8,,2018-08-16T05:53:05,2018-08-16T20:38:07,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"C8374,03318099999,03323399999,03313099999,03316099999,03351099999,03321099999"
Liverpool,2018-08-17,16.8,13.9,15.6,16.8,13.9,15.6,11.8,78.46,1.4,,8.33,,,,50,32.7,237.3,1016.8,68,22,178.4,10.3,4,,2018-08-17T05:54:49,2018-08-17T20:35:58,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"C8374,03318099999,03323399999,03313099999,03316099999,03351099999,03321099999"
Liverpool,2018-08-18,21.5,17,18.8,21.5,17,18.8,15,78.59,0.84,,4.17,,,,55.4,27.5,219.8,1017,74.6,24,303,16.4,9,,2018-08-18T05:56:33,2018-08-18T20:33:48,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"C8374,03318099999,03323399999,03313099999,E3727,03316099999,03351099999,03321099999"
Liverpool,2018-08-19,19.5,17.8,18.6,19.5,17.8,18.6,15.9,84.19,3.05,,8.33,,,,53.6,32.1,235.5,1015.6,77.3,23.7,259,14,6,,2018-08-19T05:58:17,2018-08-19T20:31:36,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"C8374,03318099999,03323399999,03313099999,03316099999,03351099999,03321099999"
Liverpool,2018-08-20,21.6,16.7,18.7,21.6,16.7,18.7,16.6,88.33,1.59,,8.33,,,,,15.4,222.4,1018.9,80.1,22.4,193.8,11.2,6,,2018-08-20T06:00:01,2018-08-20T20:29:24,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"C8374,03318099999,03323399999,03313099999,03316099999,03351099999,03321099999"
Liverpool,2018-08-21,22.4,16.7,18.9,22.4,16.7,18.9,16.1,84.48,1.3,,12.5,,,,,17.5,255.8,1018.4,55.1,24.9,395.1,19.9,8,,2018-08-21T06:01:46,2018-08-21T20:27:10,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"C8374,03318099999,03323399999,03313099999,03316099999,E2566,03351099999,03321099999"
