name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Manchester,2018-08-10,16.9,9.5,12.7,16.9,8.3,12.6,8.4,75.78,5.6,,8.33,,,,50,21.1,238.4,1016.2,47.4,33.6,73.7,4.2,1,,2018-08-10T05:39:35,2018-08-10T20:47:58,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,03351099999,03321099999"
Manchester,2018-08-11,21.1,6.4,14.5,21.1,5,14.3,9.6,75.6,0.57,,4.17,,,,42.5,19.3,190.6,1019,33,31.6,76.4,4.4,1,,2018-08-11T05:41:18,2018-08-11T20:45:55,0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,03351099999,03321099999,C3546"
Manchester,2018-08-12,20.3,15.8,17.5,20.3,15.8,17.5,15.7,89.29,9.45,,16.67,,,,46.4,20.6,168.9,1007.8,78.1,31.8,62.8,3.6,1,,2018-08-12T05:43:01,2018-08-12T20:43:52,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,03351099999,03321099999"
Manchester,2018-08-13,18.5,13.5,16.4,18.5,13.5,16.4,14.7,89.69,1.84,,12.5,,,,,22.7,290.4,1007.6,70.4,24.4,56.2,3.2,1,,2018-08-13T05:44:45,2018-08-13T20:41:47,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,03351099999,03321099999"
Manchester,2018-08-14,19.4,12.3,16.5,19.4,12.3,16.5,13.8,84.65,0.2,,4.17,,,,37.1,16.7,233.6,1014.5,72.2,29.7,64.9,3.7,1,,2018-08-14T05:46:29,2018-08-14T20:39:41,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,03351099999,03321099999"
Manchester,2018-08-15,22,15.3,18.6,22,15.3,18.6,15,80.08,0.2,,4.17,,,,57.6,25.6,213.6,1013.5,72.8,33.2,70.1,4,1,,2018-08-15T05:48:13,2018-08-15T20:37:34,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,E2566,03351099999,03321099999"
Manchester,2018-08-16,18.3,13,15.9,18.3,13,15.9,11.7,76.91,5.37,,12.5,,,,57.6,23.4,248,1010.9,61,27.8,66.9,3.6,1,,2018-08-16T05:49:57,2018-08-16T20:35:25,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,03351099999,03321099999"
Manchester,2018-08-17,16.3,11.8,14.4,16.3,11.8,14.4,10.9,80.14,0,,0,,,,50,21.3,234.9,1017.1,61.8,26.9,64,3.7,1,,2018-08-17T05:51:41,2018-08-17T20:33:16,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,F0705,03330099999,03344099999,03316099999,03351099999,03321099999"
Manchester,2018-08-18,21.8,15.2,18.3,21.8,15.2,18.3,14.2,77.56,0.45,,4.17,,,,55.4,22.8,228.8,1017.3,76,30.2,73.6,4.2,1,,2018-08-18T05:53:25,2018-08-18T20:31:05,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,03351099999,03321099999"
Manchester,2018-08-19,19.5,16.4,17.9,19.5,16.4,17.9,15.6,86.83,2.91,,8.33,,,,51.8,24.6,249.6,1015.8,80.3,33.2,56.3,3,1,,2018-08-19T05:55:10,2018-08-19T20:28:53,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,03351099999,03321099999,C3546"
Manchester,2018-08-20,21.6,16,18.4,21.6,16,18.4,16.2,87.34,0.79,,8.33,,,,,12.9,220.5,1018.9,79.3,26.7,61.4,3.5,1,,2018-08-20T05:56:54,2018-08-20T20:26:40,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,E2566,03351099999,03321099999"
Manchester,2018-08-21,23.6,16.2,18.7,23.6,16.2,18.7,15.5,83.19,1.37,,12.5,,,,,13.9,268.4,1018.3,57.9,24.1,79,4,3,,2018-08-21T05:58:39,2018-08-21T20:24:27,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,E2566,03351099999,03321099999,C3546"
Manchester,2018-08-22,22.8,13.6,17.5,22.8,13.6,17.5,14.9,85.06,3.21,,4.17,,,,48.2,23.2,236.4,1015.2,63.3,33.8,57.7,3.1,1,,2018-08-22T06:00:24,2018-08-22T20:22:12,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,03351099999,03321099999"
Manchester,2018-08-23,16.7,10.2,13.3,16.7,10.2,13.3,10.7,84.42,1.78,,8.33,,,,68.4,23.4,264.5,1012.3,57.9,26.7,62.2,3.6,1,,2018-08-23T06:02:08,2018-08-23T20:19:56,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,E2566,03351099999,03321099999,C3546"
Manchester,2018-08-24,15.3,9.2,11.7,15.3,7.2,11.6,9.1,84.28,8.63,,16.67,,,,63,28.5,275.5,1011.2,44.4,24.6,69.3,4,1,,2018-08-24T06:03:53,2018-08-24T20:17:40,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,E2566,03351099999,03321099999"
Manchester,2018-08-25,17.1,8.2,12.2,17.1,7.5,11.7,8.4,79.58,6.87,,12.5,,,,53.6,20.4,280.4,1014.1,38.8,30,78.8,4.3,1,,2018-08-25T06:05:37,2018-08-25T20:15:23,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,03351099999,03321099999"
Manchester,2018-08-26,15.4,8,11.6,15.4,7.4,11.3,10.4,92.64,11.34,,12.5,,,,55.4,27.5,179,1006.5,77.7,19,53.7,2.7,1,,2018-08-26T06:07:22,2018-08-26T20:13:05,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,03351099999,03321099999"
Manchester,2018-08-27,16.3,12.6,14.4,16.3,12.6,14.4,11.2,81.11,5.17,,12.5,,,,61.2,26.2,268,1009,77.6,36.8,65.9,3.3,1,,2018-08-27T06:09:07,2018-08-27T20:10:46,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,03351099999,03321099999"
Manchester,2018-08-28,17.7,13.4,15.2,17.7,13.4,15.2,11.6,79.8,0,,0,,,,,14.9,204.1,1016,80.5,30.5,57.3,3.3,1,,2018-08-28T06:10:51,2018-08-28T20:08:26,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,F0705,03330099999,03344099999,03316099999,E2566,03351099999,03321099999"
Manchester,2018-08-29,16.2,9.8,13.6,16.2,9.4,13.6,10.2,80.8,0.91,,4.17,,,,,21.2,267.8,1016.6,66.9,26.8,67.8,3.7,1,,2018-08-29T06:12:36,2018-08-29T20:06:06,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,E2566,03351099999,03321099999"
Manchester,2018-08-30,18.2,6.3,12.2,18.2,5.2,11.8,7.6,76.41,0.4,,4.17,,,,,9.7,185.8,1023.9,34.3,23.2,92,4.6,1,,2018-08-30T06:14:20,2018-08-30T20:03:45,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,03351099999,03321099999"
Manchester,2018-08-31,19.5,6.2,13.1,19.5,5.5,12.9,7.1,70.09,0,,0,,,,,17.3,140.3,1023.6,12.4,28.3,92.9,4.7,1,,2018-08-31T06:16:05,2018-08-31T20:01:24,0.62,Clear,Clear conditions throughout the day.,clear-day,"03346099999,F0705,03330099999,03344099999,03316099999,03351099999,03321099999"
Manchester,2018-09-01,22.3,8.6,16.2,22.3,7.6,16.1,11.5,74.93,0,,0,,,,,17.4,164.6,1023.4,51.7,25.1,96.6,4.9,1,,2018-09-01T06:17:49,2018-09-01T19:59:02,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,F0705,03330099999,03344099999,03316099999,03351099999,03321099999"
Manchester,2018-09-02,23.7,17.1,19.6,23.7,17.1,19.6,13.1,67.37,0.2,,4.17,,,,,19.6,194,1022.4,83.5,33.4,82.9,4.2,1,,2018-09-02T06:19:34,2018-09-02T19:56:40,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,03351099999,03321099999"
Manchester,2018-09-03,17.3,13.4,15.1,17.3,13.4,15.1,13.6,90.75,1.68,,8.33,,,,,17.6,249.9,1021.9,68.3,17.9,68.3,3.7,1,,2018-09-03T06:21:18,2018-09-03T19:54:17,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,E2566,03351099999,03321099999"
Manchester,2018-09-04,16.7,12,13.6,16.7,12,13.6,11,84.91,1.39,,12.5,,,,,11.3,179.5,1023.2,79.8,34.2,67.1,3.4,1,,2018-09-04T06:23:03,2018-09-04T19:51:53,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,F0705,03330099999,03344099999,03316099999,03351099999,03321099999"
