name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Newcastle,2018-08-10,21.9,2.1,13.2,21.9,2.1,12.9,8,73.85,0.2,,4.17,,,,,24,153.9,1020.8,0.5,10.6,343.8,14.9,6,,2018-08-10T06:36:02,2018-08-10T17:21:00,1,Rain,Clear conditions throughout the day with afternoon rain.,rain,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-08-11,23.9,4.8,16,23.9,3.7,15.8,6.5,57.37,0,,0,,,,,38.5,196.7,1012.5,2,10.8,373.9,14.8,7,,2018-08-11T06:35:04,2018-08-11T17:21:41,0,Clear,Clear conditions throughout the day.,wind,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-08-12,18.3,8.8,14,18.3,6.1,13.8,0.2,40.11,0,,0,,,,53.6,36.7,271.2,1016.1,2.9,11.3,339,14.6,7,,2018-08-12T06:34:04,2018-08-12T17:22:21,0.01,Clear,Clear conditions throughout the day.,wind,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-08-13,18.9,7,12.2,18.9,3,11,2.7,53.53,0,,0,,,,,34.7,254.4,1021.4,0.1,10.8,380,15,7,,2018-08-13T06:33:04,2018-08-13T17:23:01,0.03,Clear,Clear conditions throughout the day.,wind,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-08-14,21.3,9.1,14.2,21.3,5.6,13.6,4.9,55.91,0,,0,,,,,30.9,262.3,1021.2,0,11.3,365.8,15.8,7,,2018-08-14T06:32:02,2018-08-14T17:23:42,0.07,Clear,Clear conditions throughout the day.,wind,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-08-15,23,12.7,17.6,23,12.7,17.6,0.4,34.81,0,,0,,,,74.2,60.8,310.6,1013.5,0,11.3,357.6,15.4,7,,2018-08-15T06:30:59,2018-08-15T17:24:22,0.11,Clear,Clear conditions throughout the day.,wind,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-08-16,23.1,8.7,16.7,23.1,7.7,16.6,3.7,45.95,0,,0,,,,,40,241.2,1010.9,1.3,11.3,324.6,14,7,,2018-08-16T06:29:56,2018-08-16T17:25:02,0.16,Clear,Clear conditions throughout the day.,wind,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-08-17,18.5,5.8,12.9,18.5,3.8,12.6,3.5,57.18,0,,0,,,,,31.2,268.2,1014.6,3.4,10.6,362.9,15.7,7,,2018-08-17T06:28:51,2018-08-17T17:25:42,0.21,Clear,Clear conditions throughout the day.,wind,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-08-18,21.7,1.2,13.8,21.7,1.2,13.3,1.2,47.87,0,,0,,,,63,47.5,288.5,1012.3,1.7,11,371.2,16,7,,2018-08-18T06:27:46,2018-08-18T17:26:22,0.26,Clear,Clear conditions throughout the day.,wind,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-08-19,16.9,8.8,12.9,16.9,6.4,12.5,-1.1,39.24,0,,0,,,,57.6,42.3,283.1,1013.2,1,10.4,355.7,15.4,7,,2018-08-19T06:26:39,2018-08-19T17:27:02,0.31,Clear,Clear conditions throughout the day.,wind,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-08-20,14.8,6,10.6,14.8,3.2,9.8,0.4,50.41,0,,0,,,,,33.4,243.7,1018.5,3.7,10.8,365.8,15.8,7,,2018-08-20T06:25:32,2018-08-20T17:27:41,0.35,Clear,Clear conditions throughout the day.,wind,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-08-21,18.6,5.2,12.3,18.6,2,11.2,0.6,46.19,0,,0,,,,,35,292.5,1014.7,0.1,11.3,446,16.1,7,,2018-08-21T06:24:23,2018-08-21T17:28:21,0.4,Clear,Clear conditions throughout the day.,wind,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-08-22,16.8,9.4,12.9,16.8,6.1,12.4,3.9,55.32,0,,0,,,,,27.7,238.7,1015.4,0.1,30,354.4,15.3,7,,2018-08-22T06:23:14,2018-08-22T17:29:01,0.43,Clear,Clear conditions throughout the day.,clear-day,"95771099999,95767099999,94782099999,94776099999,94774099999,D6277,94781099999,95770099999,95774099999"
Newcastle,2018-08-23,16.2,6.2,12.6,16.2,3.6,12.2,8.5,77.17,0.2,,4.17,,,,,31.3,229,1020.2,5.9,10.3,339.4,14.7,7,,2018-08-23T06:22:05,2018-08-23T17:29:40,0.46,Rain,Clear conditions throughout the day with morning rain.,rain,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-08-24,18.8,5.1,13.9,18.8,5.1,13.9,10.2,79.82,1.15,,12.5,,,,,31.5,141.2,1022.3,9.1,7.5,367.8,15.9,7,,2018-08-24T06:20:54,2018-08-24T17:30:19,0.48,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-08-25,21.9,13,16.3,21.9,13,16.3,11.4,73.74,0.51,,12.5,,,,,29.3,61.3,1020.5,11.5,10.8,329.3,13,6,,2018-08-25T06:19:43,2018-08-25T17:30:59,0.5,Rain,Clear conditions throughout the day with rain.,rain,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-08-26,16.2,10.1,13.4,16.2,10.1,13.4,11.2,87.18,7.46,,16.67,,,,,16.4,222.9,1015.8,10.8,9.6,152.5,6,4,,2018-08-26T06:18:30,2018-08-26T17:31:38,0.5,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-08-27,15.6,10.2,13.1,15.6,10.2,13.1,8.3,73.85,3.22,,8.33,,,,53.6,44.3,212.8,1018.9,13.9,9.6,123,4.9,4,,2018-08-27T06:17:18,2018-08-27T17:32:17,0.51,Rain,Clear conditions throughout the day with rain.,rain,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-08-28,14.7,7.2,11.5,14.7,5.5,11.3,4.3,61.89,5.72,,4.17,,,,,25.8,218.4,1020,6.4,10.8,380.9,16.5,7,,2018-08-28T06:16:04,2018-08-28T17:32:56,0.52,Rain,Clear conditions throughout the day with morning rain.,rain,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-08-29,15.1,4.9,10.4,15.1,1.4,9.4,3.9,66.27,0.2,,4.17,,,,,27.6,243.2,1018.4,0.1,10.6,415.8,18,7,,2018-08-29T06:14:50,2018-08-29T17:33:35,0.54,Rain,Clear conditions throughout the day with morning rain.,rain,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-08-30,15.8,4.8,11.3,15.8,1.4,10.6,4.7,65.26,0,,0,,,,,22.2,193.3,1019.2,0.5,10.6,414.9,17.9,7,,2018-08-30T06:13:35,2018-08-30T17:34:14,0.58,Clear,Clear conditions throughout the day.,clear-day,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-08-31,20,6.9,14,20,5.5,13.9,8.3,70.04,2.01,,12.5,,,,,25.7,147.8,1008.3,3.9,10.6,209.6,9.1,5,,2018-08-31T06:12:20,2018-08-31T17:34:52,0.62,Rain,Clear conditions throughout the day with rain.,rain,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-09-01,20.8,12,16.1,20.8,12,16.1,7.6,58.98,0.2,,4.17,,,,64.8,45.7,298.4,1008.8,0.2,11.3,491.9,15.9,8,,2018-09-01T06:11:04,2018-09-01T17:35:31,0.67,Rain,Clear conditions throughout the day with afternoon rain.,rain,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
Newcastle,2018-09-02,17,9.1,13.9,17,7.4,13.7,7.3,64.99,0,,0,,,,,35.2,220.4,1018.1,7.1,10.8,368.3,15.9,8,,2018-09-02T06:09:47,2018-09-02T17:36:10,0.72,Clear,Clear conditions throughout the day.,wind,"95771099999,95767099999,94782099999,94776099999,YWLM,94774099999,D6277,94781099999,95770099999"
