name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
southampton,2018-08-10,18,10.7,14.9,18,10.7,14.9,10.4,75.36,30.54,,12.5,,,,67.5,34.5,247.9,1018.6,31.9,27.1,213,12.3,7,,2018-08-10T05:44:51,2018-08-10T20:36:06,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03862099999,03872099999,03746099999,03743099999,D8431,03749099999,03866099999"
southampton,2018-08-11,18,7.3,14.4,18,7.3,14.4,11.4,82.94,0.73,,4.17,,,,,18.5,198.4,1021.8,39.4,24.8,192.6,11.1,5,,2018-08-11T05:46:22,2018-08-11T20:34:16,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03862099999,03872099999,03746099999,03743099999,D8431,03749099999,03866099999"
southampton,2018-08-12,17.4,15.9,16.8,17.4,15.9,16.8,15,89.09,2.47,,8.33,,,,46.4,22.7,188.3,1010.9,75.2,16.8,103.1,5.9,2,,2018-08-12T05:47:54,2018-08-12T20:32:24,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03862099999,03872099999,03746099999,03743099999,D8431,C1734,03749099999,03866099999"
southampton,2018-08-13,22,15.2,18.3,22,15.2,18.3,14.9,82.01,3.85,,8.33,,,0,,22.1,275.9,1008.1,61.4,22.3,213.7,12.3,6,,2018-08-13T05:49:26,2018-08-13T20:30:30,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03862099999,03872099999,03746099999,03743099999,E4819,D8431,03749099999,03866099999"
southampton,2018-08-14,22,13.5,18.1,22,13.5,18.1,14.3,79.2,0.2,,4.17,,,,,22.5,274.3,1016.8,46.5,23.7,220.2,12.7,6,,2018-08-14T05:50:59,2018-08-14T20:28:36,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03862099999,03872099999,03746099999,03743099999,E4819,D8431,03749099999,03866099999"
southampton,2018-08-15,21.1,16.9,18.9,21.1,16.9,18.9,14.5,75.96,0,,0,,,,46.4,25.5,245.9,1018.4,73.8,23.5,194.8,11.2,4,,2018-08-15T05:52:31,2018-08-15T20:26:40,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03862099999,03872099999,03746099999,03743099999,E4819,D8431,03749099999,03866099999"
southampton,2018-08-16,19,13.2,16.9,19,13.2,16.9,13.7,82.2,12.21,,8.33,,,0,51.8,25.6,252,1014.7,60,17.2,144.3,8.3,5,,2018-08-16T05:54:04,2018-08-16T20:24:43,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"C6726,03862099999,03872099999,03746099999,03743099999,D8431,03749099999,03866099999"
southampton,2018-08-17,19.9,10.3,15.7,19.9,10.3,15.7,11.1,75.76,0,,0,,,0,,24.5,278.9,1020.2,37.9,22.3,240.1,13.8,5,,2018-08-17T05:55:36,2018-08-17T20:22:45,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03862099999,03872099999,03746099999,03743099999,E4819,D8431,03749099999,03866099999"
southampton,2018-08-18,20.2,15.8,17.8,20.2,15.8,17.8,14.2,79.64,0,,0,,,,,21.1,242.7,1021.6,75.9,20.5,147.6,8.5,3,,2018-08-18T05:57:09,2018-08-18T20:20:46,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03862099999,03872099999,03746099999,03743099999,E4819,D8431,03749099999,03866099999"
southampton,2018-08-19,23.5,16.7,19.3,23.5,16.7,19.3,16.1,82.35,0,,0,,,,55.4,31.5,249.1,1019.7,67.4,19.6,237.5,13.7,7,,2018-08-19T05:58:42,2018-08-19T20:18:45,0.31,Partially cloudy,Partly cloudy throughout the day.,wind,"03862099999,03872099999,03746099999,03743099999,D8431,E8571,C1734,03749099999,03866099999"
southampton,2018-08-20,22.7,16.7,19.4,22.7,16.7,19.4,16.8,85.02,0.2,,4.17,,,,,16.8,266,1020.7,72.4,23,165.4,9.5,4,,2018-08-20T06:00:15,2018-08-20T20:16:44,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"C6726,03862099999,03872099999,03746099999,03743099999,D8431,03749099999,03866099999"
southampton,2018-08-21,22.4,16.3,19.4,22.4,16.3,19.4,15.6,79.93,0.2,,4.17,,,,,16.5,258.2,1019.6,43.4,27,379.8,17.8,8,,2018-08-21T06:01:48,2018-08-21T20:14:42,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03862099999,03872099999,03746099999,03743099999,E4819,D8431,C5763,03749099999,03866099999"
southampton,2018-08-22,20.9,15.7,18.1,20.9,15.7,18.1,15.5,85.16,0,,0,,,,,15.6,257.5,1017.8,72,25.4,148.6,7.5,4,,2018-08-22T06:03:21,2018-08-22T20:12:39,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03862099999,03872099999,03746099999,03743099999,D8431,03749099999,03866099999"
southampton,2018-08-23,21,14.6,18.1,21,14.6,18.1,14,77.96,0.56,,4.17,,,,53.6,30.6,264.2,1013.9,63.3,26.8,298.3,15,7,,2018-08-23T06:04:54,2018-08-23T20:10:34,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03862099999,03872099999,03746099999,03743099999,D8431,03749099999,03866099999"
southampton,2018-08-24,16.6,10.3,13.4,16.6,10.3,13.4,9.3,76.86,1.85,,8.33,,,,59.4,27.4,274.3,1014.9,49.9,25.4,244.9,13.2,5,,2018-08-24T06:06:27,2018-08-24T20:08:29,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03862099999,03872099999,03746099999,03743099999,D8431,03749099999,03866099999"
southampton,2018-08-25,18.2,7.8,12.9,18.2,6.4,12.3,8,73.81,4.48,,4.17,,,,,19,289,1015.7,22.9,32.8,354.1,19.1,7,,2018-08-25T06:08:00,2018-08-25T20:06:24,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03862099999,03872099999,03746099999,03743099999,E4819,D8431,03749099999,03866099999"
southampton,2018-08-26,17.9,10.3,14.2,17.9,10.3,14.2,12.4,89.52,23.68,,8.33,,,,58.1,30.8,217.4,1010.1,76.7,17.7,49.4,2.7,1,,2018-08-26T06:09:33,2018-08-26T20:04:17,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03862099999,03872099999,03746099999,03743099999,D8431,C1734,03749099999,03866099999"
southampton,2018-08-27,17.7,14.1,15.8,17.7,14.1,15.8,12,78.1,0.66,,8.33,,,,55.4,23.1,270.5,1012.6,74.6,26.9,165,8.3,3,,2018-08-27T06:11:07,2018-08-27T20:02:10,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03862099999,03872099999,03746099999,03743099999,D8431,03749099999,03866099999"
southampton,2018-08-28,19.3,13.8,16,19.3,13.8,16,11.3,74.21,0,,0,,,0,,12.6,220.8,1017.3,77,28.7,211.9,10.7,4,,2018-08-28T06:12:40,2018-08-28T20:00:02,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03862099999,03872099999,03746099999,03743099999,D8431,03749099999,03866099999"
southampton,2018-08-29,19.9,12.6,15.8,19.9,12.6,15.8,11.8,77.81,2.2,,12.5,,,0,38.9,17.2,318.2,1016.2,66,25.4,237.9,12,6,,2018-08-29T06:14:13,2018-08-29T19:57:53,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03862099999,03872099999,03746099999,03743099999,D8431,03749099999,03866099999"
southampton,2018-08-30,18.7,10.4,14.7,18.7,10.4,14.7,8.4,67.26,0,,0,,,,,10.9,212.7,1023,58.7,29.5,316.8,16,8,,2018-08-30T06:15:46,2018-08-30T19:55:43,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03862099999,03872099999,03746099999,03743099999,D8431,03749099999,03866099999"
southampton,2018-08-31,20.4,10.7,15.3,20.4,10.7,15.3,11.1,77.02,0,,0,,,,,15.4,115.2,1023,34.7,20.6,306.2,15.4,7,,2018-08-31T06:17:19,2018-08-31T19:53:33,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03862099999,03872099999,03746099999,03743099999,D8431,03749099999,03866099999"
southampton,2018-09-01,21.8,10.7,16.2,21.8,10.7,16.2,12.1,78.71,0,,0,,,,,18,107.9,1024.9,34.6,17.4,367.2,18.5,7,,2018-09-01T06:18:52,2018-09-01T19:51:23,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03862099999,03872099999,03746099999,03743099999,D8431,03749099999,03866099999"
southampton,2018-09-02,22.3,11.6,16.9,22.3,11.6,16.9,10.8,69.4,0,,0,,,,,15.6,134.4,1023.9,29.1,26.6,383.4,19.3,7,,2018-09-02T06:20:25,2018-09-02T19:49:11,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03862099999,03872099999,03746099999,03743099999,D8431,03749099999,03866099999"
southampton,2018-09-03,22.7,11.5,17,22.7,11.5,17,11.5,71.66,0,,0,,,,,14.1,215.5,1020.6,45.9,20.7,306,15.4,6,,2018-09-03T06:21:58,2018-09-03T19:47:00,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03862099999,03872099999,03746099999,03743099999,D8431,03749099999,03866099999"
southampton,2018-09-04,21.2,13.1,16.7,21.2,13.1,16.7,11.9,74.19,0,,0,,,,,17,106.6,1020.6,41.4,16.5,305.3,15.4,7,,2018-09-04T06:23:31,2018-09-04T19:44:47,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03862099999,03872099999,03746099999,03743099999,D8431,03749099999,03866099999"
southampton,2018-09-05,20.8,12.7,16.5,20.8,12.7,16.5,11,71.41,0,,0,,,,,19,156.5,1020.9,45.7,18.9,297.6,15,6,,2018-09-05T06:25:04,2018-09-05T19:42:35,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03862099999,03872099999,03746099999,03743099999,D8431,03749099999,03866099999"
southampton,2018-09-06,19.5,8.9,14.7,19.5,7.5,14.5,10.1,74.66,0.28,,4.17,,,,,21.7,304.5,1017.4,44.3,28,253.1,12.8,6,,2018-09-06T06:26:37,2018-09-06T19:40:22,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03862099999,03872099999,03746099999,03743099999,D8431,03749099999,03866099999"
southampton,2018-09-07,17.6,8.1,13.1,17.6,7,12.9,7.5,70.68,0.29,,4.17,,,0,,24.4,290.4,1017,32.1,30,346.9,17.5,7,,2018-09-07T06:28:10,2018-09-07T19:38:08,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03862099999,03872099999,03746099999,03743099999,D8431,03749099999,03866099999"
southampton,2018-09-08,17.9,9,14,17.9,9,14,10.5,79.84,0,,0,,,,,21.8,245,1018.6,68.8,29.2,159.9,8.1,3,,2018-09-08T06:29:43,2018-09-08T19:35:54,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03862099999,03872099999,03746099999,03743099999,D8431,03749099999,03866099999"
