name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
watford,2018-08-10,18.8,9.6,14.1,18.8,8.9,14.1,10.3,79.29,15.64,,12.5,,,,50,21.6,255.4,1017.8,24.3,32,218.1,12.6,4,,2018-08-10T05:38:24,2018-08-10T20:34:23,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03680099999,03660099999,03672099999,03781099999,D6143,03772099999,03770099999"
watford,2018-08-11,20.6,8,14.8,20.6,7.9,14.8,10,75.24,1.2,,8.33,,,,27.7,20.8,233.3,1021.6,32.7,30.7,323.2,17.5,8,,2018-08-11T05:39:59,2018-08-11T20:32:29,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03680099999,03660099999,03672099999,03781099999,D6143,03772099999,03770099999"
watford,2018-08-12,21.2,15.7,17.8,21.2,15.7,17.8,14.1,79.84,1.5,,8.33,,,,37.1,23,194.6,1011.1,56.2,23.7,177.6,9.6,4,,2018-08-12T05:41:34,2018-08-12T20:30:34,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03680099999,03660099999,03672099999,03781099999,D6143,03772099999,03770099999"
watford,2018-08-13,23.2,15.2,18.6,23.2,15.2,18.6,14.3,78.14,1.91,,8.33,,,,33.5,20.1,278.4,1007.2,51,20.4,227.3,13.1,5,,2018-08-13T05:43:09,2018-08-13T20:28:38,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03680099999,03660099999,03672099999,03781099999,D6143,03772099999,03770099999"
watford,2018-08-14,24.4,12.7,18.6,24.4,12.7,18.6,12.6,69.78,0,,0,,,,,21.6,283,1015.7,34.4,29.9,245.4,14.1,7,,2018-08-14T05:44:44,2018-08-14T20:26:40,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03680099999,03660099999,03672099999,03781099999,D6143,03772099999,03770099999"
watford,2018-08-15,23.8,14.9,19.2,23.8,14.9,19.2,14,72.21,0,,0,,,,37.1,22.4,241.5,1017.2,52.8,24.7,172.9,10,4,,2018-08-15T05:46:20,2018-08-15T20:24:41,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03680099999,03660099999,E0299,03672099999,03781099999,D6143,03772099999,03770099999"
watford,2018-08-16,19.5,14.4,17.2,19.5,14.4,17.2,13.5,80.09,16.28,,12.5,,,,33.5,23,240.6,1013.9,52.3,21.8,121.5,7,4,,2018-08-16T05:47:56,2018-08-16T20:22:41,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03680099999,D5621,03660099999,03672099999,03781099999,D6143,03772099999,03770099999"
watford,2018-08-17,21.3,9.8,16.2,21.3,9.8,16.2,10.1,69.74,0.2,,4.17,,,,44.7,21.7,265.7,1019.3,30.6,27.6,326.6,18.8,7,,2018-08-17T05:49:31,2018-08-17T20:20:40,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03680099999,03660099999,E0299,03672099999,03781099999,D6143,03772099999,03770099999"
watford,2018-08-18,21.4,15,18.1,21.4,15,18.1,13.6,75.1,0,,0,,,,,21,240.6,1020.7,63.6,24,147.9,8,3,,2018-08-18T05:51:07,2018-08-18T20:18:37,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03680099999,03660099999,03672099999,03781099999,D6143,03772099999,03770099999"
watford,2018-08-19,25.5,17.3,20.2,25.5,17.3,20.2,15.5,75.34,0,,0,,,,46.4,25.8,244.1,1018.5,53.1,28.1,186.9,10.1,5,,2018-08-19T05:52:43,2018-08-19T20:16:34,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03680099999,03660099999,03672099999,03781099999,D6143,03772099999,03770099999"
