name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
wolverhampton,2018-08-10,15.9,10.1,12.9,15.9,10.1,12.9,8.9,77.47,7.33,,12.5,,,,38.9,15.4,244.1,1017,43.7,36,179.8,10.4,5,,2018-08-10T05:42:12,2018-08-10T20:44:23,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03414099999,03529099999,E8801,03520099999,03330099999,03535099999,03544099999"
wolverhampton,2018-08-11,19.7,6.4,13.9,19.7,6.4,13.7,9.8,79.34,1.22,,4.17,,,,42.5,19.7,186.8,1020,39.6,27.9,269.1,14.5,8,,2018-08-11T05:43:51,2018-08-11T20:42:25,0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"03414099999,03529099999,E8801,03520099999,03330099999,03535099999,03544099999"
wolverhampton,2018-08-12,18.7,15.6,16.8,18.7,15.6,16.8,15.5,92.04,10.25,,12.5,,,,27.7,17.6,173.1,1008.9,84.7,23.9,86.9,5,3,,2018-08-12T05:45:30,2018-08-12T20:40:25,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03414099999,03529099999,E8801,D6997,03520099999,03330099999,03535099999,03544099999"
wolverhampton,2018-08-13,21,14.8,17.4,21,14.8,17.4,14.1,82.24,7.61,,12.5,,,,,22,285,1007.6,68.3,28.7,188.3,10.8,5,,2018-08-13T05:47:09,2018-08-13T20:38:25,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03414099999,03529099999,E8801,D6997,03520099999,03330099999,03535099999,03544099999"
wolverhampton,2018-08-14,20.9,13.2,17.4,20.9,13.2,17.4,13.4,77.95,0,,0,,,,,17.9,254.1,1015.3,68.1,35.8,160.8,9.3,4,,2018-08-14T05:48:49,2018-08-14T20:36:23,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03414099999,03529099999,E8801,03520099999,03330099999,03535099999,03544099999"
wolverhampton,2018-08-15,21.7,15.6,18.7,21.7,15.6,18.7,14.5,76.96,0.2,,4.17,,,,50,25.3,218.9,1015.3,73.1,34.2,190.5,11,5,,2018-08-15T05:50:29,2018-08-15T20:34:20,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03414099999,03529099999,E8801,D6997,03520099999,03330099999,03535099999,03544099999"
wolverhampton,2018-08-16,18.9,12.9,16.6,18.9,12.9,16.6,11.8,74.98,6.2,,12.5,,,,35.7,20.1,237.8,1012.1,58.9,31.4,261.1,14.1,6,,2018-08-16T05:52:09,2018-08-16T20:32:16,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03414099999,03529099999,E8801,03520099999,03330099999,03535099999,03544099999"
wolverhampton,2018-08-17,17.9,9.5,14.7,17.9,8.8,14.7,10.4,76.44,0,,0,,,,35.3,20.8,227.9,1018.4,53.3,30,143.3,8.3,4,,2018-08-17T05:53:49,2018-08-17T20:30:10,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03414099999,03529099999,E8801,03520099999,03330099999,03535099999,03544099999"
wolverhampton,2018-08-18,21.2,15.8,18.1,21.2,15.8,18.1,14.1,77.86,0,,0,,,,37.1,19.8,225,1018.8,91.4,32.6,157,9,6,,2018-08-18T05:55:29,2018-08-18T20:28:04,0.26,Overcast,Cloudy skies throughout the day.,cloudy,"03414099999,03529099999,E8801,D6997,03520099999,03330099999,03535099999,03544099999"
wolverhampton,2018-08-19,22,17.1,19,22,17.1,19,15.4,79.8,1,,4.17,,,,57.6,21.6,241.3,1016.9,88.4,34.6,159.7,8,5,,2018-08-19T05:57:09,2018-08-19T20:25:56,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03414099999,03529099999,E8801,03520099999,03330099999,03535099999,03544099999"
wolverhampton,2018-08-20,22.1,16.4,19.1,22.1,16.4,19.1,16,82.3,1.04,,12.5,,,,,12,232.9,1019.4,83.3,33.7,114.7,6.6,3,,2018-08-20T05:58:49,2018-08-20T20:23:47,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03414099999,03529099999,E8801,D6997,03520099999,03330099999,03535099999,03544099999,AT997"
wolverhampton,2018-08-21,23.4,16.4,19.1,23.4,16.4,19.1,14.8,77.13,0.2,,4.17,,,,,12.1,240.2,1018.7,63.9,31.8,347.9,15,10,,2018-08-21T06:00:30,2018-08-21T20:21:38,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03414099999,03529099999,E8801,03520099999,03330099999,03535099999,03544099999,C2305"
wolverhampton,2018-08-22,23.2,15.2,18.7,23.2,15.2,18.7,15.1,80.45,0.2,,4.17,,,,33.5,18.1,232.5,1015.9,74.7,30.7,200.9,10.9,5,,2018-08-22T06:02:10,2018-08-22T20:19:27,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03414099999,03529099999,E8801,D6997,03520099999,03330099999,03535099999,03544099999"
wolverhampton,2018-08-23,17.9,11.1,14.7,17.9,11.1,14.7,11.5,82.42,8.99,,16.67,,,,51.8,18.8,284.5,1012.9,60.6,25.5,250.2,15.3,6,,2018-08-23T06:03:51,2018-08-23T20:17:16,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03414099999,03529099999,E8801,03520099999,03330099999,03535099999,C5841,03544099999,AT997"
wolverhampton,2018-08-24,15.7,8.1,11.5,15.7,6.7,11,8,79.63,5.69,,16.67,,,,55.5,23.3,251.9,1012.7,34.2,35.1,182.8,9.9,5,,2018-08-24T06:05:31,2018-08-24T20:15:04,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03414099999,03529099999,E8801,D6997,03520099999,03330099999,03535099999,03544099999"
wolverhampton,2018-08-25,16.8,7.2,11.8,16.8,5.8,11.2,8.1,79.41,13.95,,12.5,,,,,15.4,271.1,1014.6,38.6,36.1,243.7,13.2,6,,2018-08-25T06:07:11,2018-08-25T20:12:50,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03414099999,03529099999,E8801,D6997,03520099999,03330099999,03535099999,03544099999"
